"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"OQrMlJY","1A0VVPp","2026-09-11 12:43:38","Something else (write in)","Green space as in fields for various uses.  Youth Soccer, kickball, flag football, community gatherings, etc.  But not a giant indoor track facility. 
","Not one of the ATC members would be ok with a giant facility, church, business popping up in the middle of a residential neighborhood and certainly not directly across their home/street in Buckhead, Avondale Estates, Decatur, Brookhaven (fill in the neighborhood), but this is their ballroom and nothing we say or do will change their minds.  ","No","No"
"5XrPj0M","b5RddB6","2026-09-11 12:48:15","ATC Indoor Track Proposal","","The green space at that location has never felt truly public to me. Especially the area where ATC plans to put their parking lot. It is always fenced off.","","No"
"Arae2Zo","rj9PABN","2026-09-11 12:48:53","ATC Indoor Track Proposal","","","","No"
"jegAQz4","ODqGAo8","2026-09-11 12:59:28","ATC Indoor Track Proposal","","The proposal needs some work, but I do not oppose it. My biggest concern is the number of trees that need to be removed from the site as well as the proposed and enclosure of Ami and Little streets. ","","No"
"aOkqYgq","EkVWPAq","2026-09-11 12:59:47","Green space","","Anything but parking.","","No"
"pe5pKJy","440rk7b","2026-09-11 13:02:02","ATC Indoor Track Proposal","","","","No"
"NqE1ABQ","ODqGPMA","2026-09-11 13:04:40","Green space","","","","No"
"kbgBWL1","LZxpY2l","2026-09-11 13:18:23","ATC Indoor Track Proposal","","The track sounds awesome. My main concern is parking taking over green space. At the same time, it feels like a double edged sword because if we say no to parking, it’ll cause more people to spill over into parking on Grant terrace and adjacent streets. We are lucky to have off street parking but that’s not the same for everyone on our street. There has to be some compromise. ","","No"
"lagk72X","WObzMek","2026-09-11 13:21:02","Green space","","Ideally this should be turned into a park and preserved. I am hoping ONS supports this and is louder over this issue than the mostly symbolic olympic cauldron moving.","","No"
"BE6W2q5","680NAPP","2026-09-11 13:39:39","ATC Indoor Track Proposal","","Long overdue and badly needed ","","No"
"AraeyKe","rjbJEA2","2026-09-11 13:40:51","Green space","","","","No"
"WJQVq1J","dWGd8ez","2026-09-11 13:45:22","Green space","","Having Path FC soccer in the neighborhood has been a blessing","","No"
"4aEVRMb","MeZRPBY","2026-09-11 14:08:37","Green space","","","","No"
"o9gLZ51","0Q0OlLy","2026-09-11 14:10:33","Green space","","I am not 100% opposed to the ATC indoor track, but I'd like the track club to approach the proposal with more thoughtfulness. It has been obvious from the beginning that they considered this completely nailed down, and were surprised the neighborhood had objections to it. Their response to try to meet our concerns has been ad hoc and sloppy. For example, I am concerned that the graphics they drew up for the meeting at King had cars exit the parking lot right in front of the playground; that indicates to me they don't know the neighborhood well and worse, did absolutely zero due diligence about researching the layout of the area. They generally seem to think we should be grateful for their largesse, and I am of the opinion that we live here, and they need to make this proposal more amenable to us by minimally disrupting our lives and allowing residents to continue to use amenities in the area (green space, safe playground, etc).","","No"
"q5g1lK7","WObzk9e","2026-09-11 14:22:49","Something else (write in)","Combination of “evolving” green space and 100% public use improvements (consistent with the ATCs “health and wellness” theming - while somewhat disingenuous in the ATC’s presentation context, more broadly that is a good place for focus)","I agree with and support Our Cheney’s mission statement","No","No"
"Z9Wr7Q0","RGeP6NJ","2026-09-11 14:26:33","Green space","","","","No"
