"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"yXgQDQp","KY2l4o7","2026-09-11 18:06:11","Green space","","","","No"
"o9gPobb","440xY1B","2026-09-11 18:06:49","ATC Indoor Track Proposal","","An active rooftop for the indoor track and parking lot would be preferred. I think having ATC here is critical for sustaining Georgia Avenue businesses, keeping Summerhill growing, and the entire neighborhood economic health.  Otherwise another neighborhood will harvest the benefits.  That vacant lot will eventually be turned into something, and this world-class fitness facility is probable the best possible option we have.","","No"
"e5yJNjk","ODq5M6A","2026-09-11 18:25:30","Green space","","Every neighbor I’ve spoken to doesn’t want the proposed indoor track if it means losing such a precious resource like green space. ","","No"
"M1P46A0","RGe5NaQ","2026-09-11 18:35:51","ATC Indoor Track Proposal","","The ATC building would absolutely be a positive impact for the neighborhood, but it MUST be done well or I will push back heavily. This is a risky development I am nervous about that could be very bad for the neighborhood for decades IF executed poorly. 

1. The building must compliment the character of the neighborhood. It must be aesthetically pleasing. the design must be timeless. There are too many examples of community centers in the area that quickly become old/outdated in design and materials. The Georgia Hill Center right up the street is an example of this. It is largely not a good design that adds to the character of the neighborhood, or a great use of land. 

2. It must not interfere with parking spots on Connally or adjacent streets. Putting an industrial-sized building right next to residential properties risks creating a dead-zone surrounding it. No one wants to live in the shadow of a stadium, highway, factory, etc. This could have a similar impact for the surrounding streets and push down property value IF done incorrectly. STREET LEVEL ACTIVATION is a need-to-have here. 

3. If additional parking is created, it should be minimized in scope and be done with high-quality, natural material in order to reduce flooding risk. Eco-parking lots prioritize gravel, native plantings, and appropriate lighting. I will push back heavily if a plain old black-tarmac design is proposed. 

Ultimately, I do see the value in gaining more neighborhood stewardship of the land similar to the Grant Park Conservancy. There may have been a precedent for APS ownership in the past given the struggling nature of the neighborhood, but we are now a thriving neighborhood capable of community involvement and stewardship. ","","No"
"lagG45B","7R02GYP","2026-09-11 18:53:51","Something else (write in)","A recreation center ","","No","No"
"NqEjQEB","xXbakgy","2026-09-11 19:10:28","Something else (write in)","I’d like to see the Park Pride plan implemented, since it was developed methodically with broad and deep stakeholder engagement.","","No","No"
"M1P4ox8","LZxbpdO","2026-09-11 20:02:17","ATC Indoor Track Proposal","","I understand why people don’t want this but it’ll bring a lot of positive change to the neighborhood. I rarely see anyone in the actual park. ","","No"
"0VG9pvP","obNyGgx","2026-09-11 20:04:27","Green space","","No parking deck! ","","No"
"o9gP4LX","0Q0xONP","2026-09-11 20:06:23","Green space","","Green space or something else that would add value to the neighborhood. ","","No"
"zEgkXNg","eqO66rQ","2026-09-11 20:10:48","Something else (write in)","I could be on board with the indoor track, but I’m vehemently oppose to putting a parking lot in the current green space. Driving to a track in a dense urban area seems antithetical to the very act of exercise. We don’t need more cars in our area and parking lots increase the overall temperature.","We already have plenty of street parking up and down Ami and Connally streets. Could we not put in diagonal parking spots on Ami street to allow even more parking? ","No","No"
